radius SMD_LS SMD_LS_err SMD_WD SMD_WD_err SMD_NS SMD_NS_err SMD_BH SMD_BH_err SMD_tot SMD_tot_err
0.5 1248.941 1248.941 253.453 253.453 32.858 32.858 81.734 81.734 1616.985 349034500369.142
1.5 400.717 400.717 89.156 89.156 11.258 11.258 25.769 25.769 526.9 44298176011.645
2.5 215.62 215.62 45.629 45.629 5.922 5.922 13.403 13.403 280.574 10488943916.626
3.5 122.564 122.564 27.202 27.202 3.498 3.498 7.659 7.659 160.923 3406883282.156
4.5 85.882 85.882 16.106 16.106 2.266 2.266 5.194 5.194 109.448 1543600528.623
5.5 83.831 83.831 15.026 15.026 2.183 2.183 4.964 4.964 106.004 1460360290.608
6.5 57.531 57.531 9.717 9.717 1.433 1.433 3.284 3.284 71.965 679129040.038
7.5 48.185 48.185 8.325 8.325 1.205 1.205 2.791 2.791 60.506 482126479.968
8.5 30.467 30.467 4.736 4.736 0.737 0.737 1.684 1.684 37.624 182512928.027
9.5 15.528 15.528 2.315 2.315 0.37 0.37 0.854 0.854 19.068 49582504.308
10.5 11.118 11.118 1.549 1.549 0.255 0.255 0.59 0.59 13.513 27485002.47
11.5 7.33 7.33 0.946 0.946 0.164 0.164 0.38 0.38 8.82 13434817.315
12.5 4.539 4.539 0.589 0.589 0.099 0.099 0.233 0.233 5.46 5285919.655
13.5 2.748 2.748 0.389 0.389 0.062 0.062 0.145 0.145 3.344 2026394.447
14.5 1.959 1.959 0.268 0.268 0.041 0.041 0.099 0.099 2.367 907387.789
15.5 0.74 0.74 0.106 0.106 0.016 0.016 0.04 0.04 0.902 133979.876
16.5 0.435 0.435 0.057 0.057 0.009 0.009 0.021 0.021 0.522 45130.74
