radius SMD_LS SMD_LS_err SMD_WD SMD_WD_err SMD_NS SMD_NS_err SMD_BH SMD_BH_err SMD_tot SMD_tot_err
0.5 1248.941 271.312 253.453 47.329 32.858 6.534 81.734 22.746 1616.985 276.424
1.5 400.717 39.714 89.156 8.389 11.258 1.19 25.769 3.087 526.9 40.725
2.5 215.62 22.253 45.629 4.806 5.922 0.675 13.403 1.406 280.574 22.82
3.5 122.564 13.247 27.202 3.631 3.498 0.46 7.659 0.861 160.923 13.77
4.5 85.882 4.858 16.106 0.972 2.266 0.132 5.194 0.292 109.448 4.964
5.5 83.831 8.084 15.026 1.154 2.183 0.281 4.964 0.519 106.004 8.188
6.5 57.531 2.504 9.717 0.414 1.433 0.06 3.284 0.138 71.965 2.542
7.5 48.185 2.013 8.325 0.343 1.205 0.044 2.791 0.11 60.506 2.045
8.5 30.467 1.486 4.736 0.164 0.737 0.059 1.684 0.067 37.624 1.497
9.5 15.528 0.567 2.315 0.083 0.37 0.013 0.854 0.035 19.068 0.574
10.5 11.118 0.478 1.549 0.077 0.255 0.014 0.59 0.025 13.513 0.485
11.5 7.33 0.362 0.946 0.05 0.164 0.008 0.38 0.019 8.82 0.366
12.5 4.539 0.362 0.589 0.046 0.099 0.007 0.233 0.017 5.46 0.365
13.5 2.748 0.267 0.389 0.043 0.062 0.006 0.145 0.015 3.344 0.271
14.5 1.959 0.432 0.268 0.054 0.041 0.007 0.099 0.019 2.367 0.435
15.5 0.74 0.271 0.106 0.026 0.016 0.003 0.04 0.011 0.902 0.272
16.5 0.435 0.223 0.057 0.014 0.009 0.002 0.021 0.005 0.522 0.224
